N_Minors,Total_PAX,Income_number,Cost,Cost_Income,Lag,Meal_Type,Reservation_Status
3,4,25000,214,0.00856,1,HB,Check-In
2,6,25000,400,0.016,13,BB,Check-In
2,6,100000,558,0.00558,48,BB,Check-In
2,7,37500,187,0.0049866666666666,2,BB,Check-In
3,5,37500,636,0.01696,45,BB,Check-In
3,4,75000,444,0.00592,0,BB,Check-In
1,5,37500,242,0.0064533333333333,70,BB,Check-In
4,9,37500,203,0.0054133333333333,80,BB,Check-In
3,4,25000,681,0.02724,96,BB,Check-In
1,2,75000,249,0.00332,367,BB,Check-In
3,5,100000,729,0.00729,361,BB,Check-In
1,3,75000,231,0.00308,80,HB,Check-In
1,3,75000,676,0.0090133333333333,95,HB,Check-In
1,2,25000,188,0.00752,323,HB,Check-In
2,4,37500,300,0.008,66,BB,Check-In
2,4,25000,510,0.0204,76,BB,Check-In
2,4,25000,438,0.01752,9,BB,Check-In
1,2,37500,121,0.0032266666666666,8,BB,Check-In
1,3,25000,102,0.00408,0,BB,Check-In
1,2,25000,276,0.01104,19,BB,Check-In
1,2,25000,726,0.02904,6,BB,Check-In
3,4,75000,406,0.0054133333333333,107,BB,Check-In
1,3,37500,235,0.0062666666666666,108,BB,Check-In
2,4,75000,205,0.0027333333333333,71,BB,Check-In
3,4,37500,215,0.0057333333333333,62,BB,Check-In
1,3,100000,480,0.0048,61,HB,Check-In
1,4,37500,904,0.0241066666666666,97,BB,Check-In
3,4,75000,328,0.0043733333333333,100,BB,Check-In
2,6,75000,408,0.00544,2,BB,Check-In
2,4,25000,632,0.02528,94,BB,Check-In
2,4,37500,408,0.01088,90,BB,Check-In
1,4,25000,117,0.00468,94,BB,Check-In
1,4,37500,627,0.01672,99,BB,Check-In
1,6,25000,114,0.00456,25,BB,Check-In
2,4,37500,229,0.0061066666666666,72,HB,Check-In
2,4,75000,258,0.00344,100,BB,Check-In
1,5,37500,378,0.01008,113,BB,Check-In
3,5,25000,247,0.00988,101,BB,Check-In
3,6,75000,490,0.0065333333333333,84,BB,Check-In
2,7,25000,191,0.00764,77,HB,Check-In
2,4,37500,214,0.0057066666666666,51,BB,Check-In
2,3,25000,684,0.02736,26,BB,Check-In
1,3,75000,238,0.0031733333333333,100,BB,Check-In
3,5,75000,144,0.00192,108,BB,Check-In
1,3,75000,432,0.00576,90,BB,Check-In
1,2,75000,960,0.0128,88,BB,Check-In
2,5,25000,246,0.00984,77,HB,Check-In
2,6,37500,248,0.0066133333333333,1,BB,Check-In
2,7,75000,434,0.0057866666666666,28,BB,Check-In
2,3,75000,468,0.00624,49,HB,Check-In
1,4,75000,120,0.0016,35,BB,Check-In
3,5,75000,316,0.0042133333333333,71,BB,Check-In
2,4,75000,336,0.00448,31,BB,Check-In
2,5,25000,260,0.0104,30,FB,Check-In
1,2,37500,609,0.01624,5,BB,Check-In
4,7,75000,362,0.0048266666666666,98,BB,Check-In
2,3,37500,165,0.0044,0,BB,Check-In
2,4,25000,186,0.00744,99,BB,Check-In
1,5,75000,260,0.0034666666666666,98,BB,Check-In
1,2,37500,236,0.0062933333333333,7,BB,Check-In
2,5,25000,492,0.01968,1,BB,Check-In
2,3,37500,195,0.0052,-1,BB,Check-In
2,3,25000,218,0.00872,7,BB,Check-In
3,4,100000,324,0.00324,0,BB,Check-In
1,2,100000,716,0.00716,-2,BB,Check-In
1,5,75000,726,0.00968,6,BB,Check-In
1,2,37500,244,0.0065066666666666,4,BB,Check-In
3,5,100000,296,0.00296,0,BB,Check-In
3,5,100000,176,0.00176,43,HB,Check-In
1,2,25000,206,0.00824,78,BB,Check-In
1,5,37500,488,0.0130133333333333,93,BB,Check-In
3,6,37500,133,0.0035466666666666,108,BB,Check-In
2,6,37500,158,0.0042133333333333,29,BB,Check-In
1,3,75000,227,0.0030266666666666,63,BB,Check-In
2,3,75000,114,0.00152,38,BB,Check-In
1,2,37500,223,0.0059466666666666,89,BB,Check-In
2,4,25000,201,0.00804,33,BB,Check-In
4,7,37500,191,0.0050933333333333,92,HB,Check-In
1,6,25000,760,0.0304,93,HB,Check-In
3,5,37500,115,0.0030666666666666,28,BB,Check-In
2,4,100000,176,0.00176,100,HB,Check-In
2,3,75000,160,0.0021333333333333,26,BB,Check-In
2,5,75000,300,0.004,6,BB,Check-In
3,4,75000,314,0.0041866666666666,80,BB,Check-In
3,5,37500,188,0.0050133333333333,93,BB,Check-In
2,3,75000,186,0.00248,109,BB,Check-In
2,4,25000,172,0.00688,95,HB,Check-In
2,4,37500,732,0.01952,76,HB,Check-In
2,3,100000,241,0.00241,114,BB,Check-In
3,5,100000,386,0.00386,109,BB,Check-In
2,3,75000,151,0.0020133333333333,50,BB,Check-In
2,5,75000,381,0.00508,91,BB,Check-In
3,5,75000,552,0.00736,78,HB,Check-In
2,6,75000,362,0.0048266666666666,82,BB,Check-In
2,3,25000,435,0.0174,48,BB,Check-In
1,3,25000,229,0.00916,110,BB,Check-In
2,5,25000,150,0.006,-1,BB,Check-In
3,4,25000,203,0.00812,1,BB,Check-In
1,3,25000,173,0.00692,6,BB,Check-In
3,6,37500,154,0.0041066666666666,97,BB,Check-In
2,4,37500,230,0.0061333333333333,93,BB,Check-In
4,9,100000,126,0.00126,47,HB,Check-In
1,4,100000,233,0.00233,65,HB,Check-In
1,3,100000,122,0.00122,103,BB,Check-In
3,6,37500,462,0.01232,25,BB,Check-In
2,5,75000,748,0.0099733333333333,30,HB,Check-In
2,4,25000,334,0.01336,96,HB,Check-In
2,7,37500,612,0.01632,101,BB,Check-In
2,5,37500,384,0.01024,65,HB,Check-In
4,6,37500,492,0.01312,84,HB,Check-In
1,4,75000,422,0.0056266666666666,256,BB,Check-In
2,6,25000,405,0.0162,108,HB,Check-In
5,6,100000,351,0.00351,91,BB,Check-In
2,5,37500,146,0.0038933333333333,111,BB,Check-In
1,2,25000,165,0.0066,99,BB,Check-In
4,6,25000,242,0.00968,31,HB,Check-In
1,3,75000,166,0.0022133333333333,96,HB,Check-In
1,3,75000,456,0.00608,77,BB,Check-In
3,5,75000,126,0.00168,89,BB,Check-In
2,5,37500,119,0.0031733333333333,110,BB,Check-In
2,6,37500,122,0.0032533333333333,64,BB,Check-In
2,7,37500,196,0.0052266666666666,66,BB,Check-In
5,10,37500,249,0.00664,54,BB,Check-In
1,4,75000,226,0.0030133333333333,20,HB,Check-In
3,5,25000,228,0.00912,7,BB,Check-In
3,4,100000,405,0.00405,5,BB,Check-In
1,6,37500,128,0.0034133333333333,-1,BB,Check-In
2,5,75000,588,0.00784,-3,HB,Check-In
1,5,37500,162,0.00432,-1,BB,Check-In
1,2,25000,332,0.01328,6,BB,Check-In
2,3,37500,112,0.0029866666666666,65,BB,Check-In
3,5,75000,460,0.0061333333333333,86,HB,Check-In
4,8,25000,243,0.00972,-1,BB,Check-In
2,4,75000,199,0.0026533333333333,42,HB,Check-In
3,5,25000,417,0.01668,85,HB,Check-In
2,3,75000,222,0.00296,53,BB,Check-In
2,5,25000,606,0.02424,289,BB,Check-In
3,5,37500,168,0.00448,111,HB,Check-In
4,6,25000,240,0.0096,67,BB,Check-In
2,4,25000,202,0.00808,6,BB,Check-In
2,7,75000,204,0.00272,-1,BB,Check-In
2,3,37500,880,0.0234666666666666,109,BB,Check-In
2,4,37500,450,0.012,3,BB,Check-In
2,4,100000,477,0.00477,80,BB,Check-In
1,3,25000,741,0.02964,102,BB,Check-In
1,2,37500,192,0.00512,-1,BB,Check-In
2,4,75000,150,0.002,0,BB,Check-In
2,3,75000,126,0.00168,0,BB,Check-In
1,3,25000,346,0.01384,-1,BB,Check-In
2,4,100000,936,0.00936,98,BB,Check-In
2,4,75000,243,0.00324,112,BB,Check-In
3,5,25000,179,0.00716,279,HB,Check-In
3,5,37500,432,0.01152,92,BB,Check-In
3,4,37500,348,0.00928,391,HB,Check-In
3,5,37500,741,0.01976,30,HB,Check-In
2,5,37500,342,0.00912,79,BB,Check-In
2,4,37500,191,0.0050933333333333,99,BB,Check-In
3,4,75000,212,0.0028266666666666,98,BB,Check-In
3,5,75000,230,0.0030666666666666,16,BB,Check-In
2,3,37500,322,0.0085866666666666,66,BB,Check-In
4,6,75000,247,0.0032933333333333,11,BB,Check-In
2,4,75000,111,0.00148,76,BB,Check-In
3,4,37500,716,0.0190933333333333,20,BB,Check-In
3,8,100000,234,0.00234,43,BB,Check-In
3,8,100000,282,0.00282,76,BB,Check-In
1,3,100000,312,0.00312,15,BB,Check-In
2,4,100000,232,0.00232,102,BB,Check-In
4,5,37500,132,0.00352,15,BB,Check-In
2,4,25000,452,0.01808,10,BB,Check-In
4,7,75000,174,0.00232,76,BB,Check-In
5,10,100000,434,0.00434,88,BB,Check-In
1,4,37500,244,0.0065066666666666,89,BB,Check-In
2,4,100000,245,0.00245,89,BB,Check-In
2,3,37500,171,0.00456,365,HB,Check-In
2,7,37500,247,0.0065866666666666,248,HB,Check-In
1,3,100000,478,0.00478,67,HB,Check-In
3,4,37500,675,0.018,7,BB,Check-In
2,5,25000,231,0.00924,21,BB,Check-In
2,6,75000,182,0.0024266666666666,90,BB,Check-In
2,4,25000,808,0.03232,19,BB,Check-In
1,3,25000,418,0.01672,9,BB,Check-In
3,4,75000,201,0.00268,2,BB,Check-In
5,6,25000,107,0.00428,12,HB,Check-In
1,3,25000,160,0.0064,107,BB,Check-In
2,4,75000,212,0.0028266666666666,90,BB,Check-In
2,4,75000,136,0.0018133333333333,36,BB,Check-In
1,5,25000,125,0.005,20,BB,Check-In
2,3,25000,196,0.00784,105,BB,Check-In
1,2,37500,149,0.0039733333333333,29,FB,Check-In
1,2,75000,474,0.00632,28,FB,Check-In
2,4,25000,223,0.00892,50,BB,Check-In
2,4,37500,208,0.0055466666666666,78,BB,Check-In
2,4,25000,197,0.00788,20,HB,Check-In
2,3,25000,276,0.01104,33,BB,Check-In
1,2,37500,476,0.0126933333333333,76,HB,Check-In
3,6,37500,230,0.0061333333333333,29,HB,Check-In
3,5,100000,466,0.00466,76,HB,Check-In
2,4,25000,197,0.00788,77,HB,Check-In
1,3,37500,114,0.00304,43,HB,Check-In
2,7,100000,546,0.00546,31,HB,Check-In
1,3,75000,732,0.00976,84,FB,Check-In
4,7,25000,143,0.00572,10,BB,Check-In
2,4,37500,268,0.0071466666666666,113,BB,Check-In
3,5,37500,123,0.00328,85,BB,Check-In
3,5,25000,128,0.00512,40,BB,Check-In
3,5,37500,235,0.0062666666666666,31,BB,Check-In
1,6,100000,240,0.0024,33,HB,Check-In
3,7,75000,195,0.0026,33,HB,Check-In
2,7,37500,122,0.0032533333333333,99,HB,Check-In
4,7,25000,209,0.00836,43,BB,Check-In
1,3,25000,209,0.00836,303,BB,Check-In
3,4,25000,696,0.02784,32,BB,Check-In
2,3,37500,192,0.00512,116,HB,Check-In
3,6,100000,104,0.00104,69,BB,Check-In
1,4,100000,100,0.001,109,BB,Check-In
1,2,100000,176,0.00176,108,BB,Check-In
4,8,37500,170,0.0045333333333333,32,BB,Check-In
3,6,37500,128,0.0034133333333333,32,BB,Check-In
2,5,37500,195,0.0052,32,BB,Check-In
1,4,75000,434,0.0057866666666666,-2,BB,Check-In
1,3,25000,326,0.01304,-2,HB,Check-In
1,2,75000,405,0.0054,-3,BB,Check-In
2,6,37500,150,0.004,-1,BB,Check-In
2,4,100000,138,0.00138,83,HB,Check-In
3,5,100000,133,0.00133,70,BB,Check-In
4,5,75000,148,0.0019733333333333,15,BB,Check-In
1,4,37500,239,0.0063733333333333,53,BB,Check-In
4,5,25000,178,0.00712,7,BB,Check-In
1,3,37500,125,0.0033333333333333,35,BB,Check-In
3,5,100000,202,0.00202,39,HB,Check-In
2,4,37500,211,0.0056266666666666,58,BB,Check-In
2,3,25000,274,0.01096,77,HB,Check-In
2,4,75000,624,0.00832,28,HB,Check-In
4,6,37500,180,0.0048,109,BB,Check-In
3,7,100000,776,0.00776,29,BB,Check-In
2,4,100000,500,0.005,51,BB,Check-In
1,3,25000,214,0.00856,1,BB,Check-In
1,4,25000,398,0.01592,6,BB,Check-In
3,7,37500,364,0.0097066666666666,70,BB,Check-In
2,5,75000,345,0.0046,9,BB,Check-In
1,5,37500,137,0.0036533333333333,47,BB,Check-In
3,5,75000,466,0.0062133333333333,88,FB,Check-In
2,3,37500,110,0.0029333333333333,33,HB,Check-In
1,3,100000,112,0.00112,57,BB,Check-In
3,4,37500,462,0.01232,57,BB,Check-In
1,2,25000,219,0.00876,89,FB,Check-In
2,4,75000,402,0.00536,114,BB,Check-In
3,6,75000,320,0.0042666666666666,29,BB,Check-In
1,4,37500,240,0.0064,50,HB,Check-In
2,4,100000,106,0.00106,47,BB,Check-In
3,5,25000,342,0.01368,57,BB,Check-In
3,5,75000,151,0.0020133333333333,96,BB,Check-In
2,4,37500,460,0.0122666666666666,10,HB,Check-In
3,4,100000,732,0.00732,61,BB,Check-In
2,4,37500,194,0.0051733333333333,30,BB,Check-In
2,3,100000,247,0.00247,58,HB,Check-In
3,5,75000,474,0.00632,53,BB,Check-In
1,4,75000,188,0.0025066666666666,80,BB,Check-In
3,4,37500,234,0.00624,-1,BB,Check-In
2,6,37500,338,0.0090133333333333,32,BB,Check-In
3,5,75000,120,0.0016,12,BB,Check-In
3,5,25000,747,0.02988,37,BB,Check-In
2,5,100000,198,0.00198,0,BB,Check-In
3,4,75000,206,0.0027466666666666,33,BB,Check-In
3,5,37500,288,0.00768,86,BB,Check-In
2,4,37500,340,0.0090666666666666,7,BB,Check-In
3,5,37500,381,0.01016,21,HB,Check-In
2,4,75000,468,0.00624,95,BB,Check-In
2,6,25000,151,0.00604,59,BB,Check-In
1,6,37500,180,0.0048,99,BB,Check-In
2,3,75000,318,0.00424,47,BB,Check-In
3,8,37500,199,0.0053066666666666,46,BB,Check-In
3,5,25000,376,0.01504,6,BB,Check-In
2,6,25000,426,0.01704,32,HB,Check-In
2,7,37500,450,0.012,44,BB,Check-In
2,4,75000,197,0.0026266666666666,114,HB,Check-In
3,6,75000,582,0.00776,76,BB,Check-In
3,6,25000,100,0.004,90,BB,Check-In
3,5,37500,390,0.0104,95,BB,Check-In
1,2,25000,209,0.00836,108,BB,Check-In
3,6,25000,362,0.01448,-2,BB,Check-In
2,4,75000,130,0.0017333333333333,97,BB,Check-In
3,6,25000,246,0.00984,-1,BB,Check-In
4,6,25000,163,0.00652,8,HB,Check-In
2,3,75000,112,0.0014933333333333,61,BB,Check-In
3,7,25000,124,0.00496,44,BB,Check-In
1,3,100000,123,0.00123,41,BB,Check-In
2,5,25000,180,0.0072,53,BB,Check-In
2,4,25000,488,0.01952,49,HB,Check-In
1,4,37500,156,0.00416,53,BB,Check-In
1,3,75000,112,0.0014933333333333,57,HB,Check-In
3,8,37500,260,0.0069333333333333,-2,BB,Check-In
2,5,37500,627,0.01672,57,BB,Check-In
2,7,37500,482,0.0128533333333333,319,HB,Check-In
3,5,37500,510,0.0136,37,BB,Check-In
1,2,25000,500,0.02,49,BB,Check-In
2,5,25000,561,0.02244,35,BB,Check-In
1,4,100000,489,0.00489,72,HB,Check-In
2,4,25000,414,0.01656,99,BB,Check-In
1,3,100000,428,0.00428,40,BB,Check-In
2,4,37500,232,0.0061866666666666,38,BB,Check-In
2,4,100000,696,0.00696,105,HB,Check-In
2,3,100000,378,0.00378,79,BB,Check-In
2,6,75000,164,0.0021866666666666,97,HB,Check-In
2,5,37500,175,0.0046666666666666,31,HB,Check-In
2,5,37500,636,0.01696,68,BB,Check-In
2,4,75000,249,0.00332,114,HB,Check-In
1,5,37500,203,0.0054133333333333,117,FB,Check-In
1,2,75000,233,0.0031066666666666,80,HB,Check-In
2,4,100000,182,0.00182,94,BB,Check-In
2,3,75000,189,0.00252,15,BB,Check-In
3,8,75000,212,0.0028266666666666,54,HB,Check-In
2,4,100000,828,0.00828,84,BB,Check-In
3,5,37500,711,0.01896,38,BB,Check-In
1,2,37500,483,0.01288,37,BB,Check-In
2,4,25000,192,0.00768,0,BB,Check-In
1,5,100000,492,0.00492,-2,BB,Check-In
4,6,25000,528,0.02112,-3,BB,Check-In
2,5,25000,177,0.00708,75,BB,Check-In
1,4,100000,418,0.00418,-2,BB,Check-In
2,5,37500,164,0.0043733333333333,48,BB,Check-In
2,4,75000,147,0.00196,75,BB,Check-In
2,4,75000,137,0.0018266666666666,72,HB,Check-In
2,4,25000,364,0.01456,71,HB,Check-In
1,3,75000,436,0.0058133333333333,315,HB,Check-In
5,7,37500,228,0.00608,111,BB,Check-In
2,4,25000,213,0.00852,5,HB,Check-In
2,4,37500,238,0.0063466666666666,7,HB,Check-In
1,4,75000,222,0.00296,95,BB,Check-In
2,7,100000,160,0.0016,95,BB,Check-In
3,5,100000,444,0.00444,97,BB,Check-In
1,4,75000,162,0.00216,65,BB,Check-In
5,8,75000,513,0.00684,35,HB,Check-In
1,6,100000,137,0.00137,37,HB,Check-In
2,4,75000,235,0.0031333333333333,112,BB,Check-In
3,4,100000,122,0.00122,-1,BB,Check-In
1,6,25000,315,0.0126,59,HB,Check-In
2,7,25000,450,0.018,37,BB,Check-In
3,5,100000,494,0.00494,35,HB,Check-In
2,3,37500,490,0.0130666666666666,56,BB,Check-In
2,7,37500,507,0.01352,34,BB,Check-In
2,6,75000,154,0.0020533333333333,56,FB,Check-In
2,4,37500,220,0.0058666666666666,56,FB,Check-In
1,2,37500,160,0.0042666666666666,56,FB,Check-In
1,4,75000,402,0.00536,55,FB,Check-In
2,4,75000,170,0.0022666666666666,56,FB,Check-In
2,6,75000,143,0.0019066666666666,82,BB,Check-In
3,7,25000,128,0.00512,56,FB,Check-In
2,6,37500,868,0.0231466666666666,53,FB,Check-In
3,4,37500,114,0.00304,56,FB,Check-In
2,5,25000,448,0.01792,55,FB,Check-In
3,5,25000,108,0.00432,56,FB,Check-In
2,3,25000,747,0.02988,54,FB,Check-In
1,2,25000,296,0.01184,55,FB,Check-In
3,4,75000,552,0.00736,53,FB,Check-In
2,3,25000,609,0.02436,54,FB,Check-In
3,7,75000,498,0.00664,54,FB,Check-In
1,2,75000,402,0.00536,54,FB,Check-In
3,6,75000,303,0.00404,54,FB,Check-In
2,7,37500,309,0.00824,54,FB,Check-In
2,5,75000,628,0.0083733333333333,53,FB,Check-In
1,2,25000,572,0.02288,53,FB,Check-In
2,5,100000,448,0.00448,62,BB,Check-In
2,6,75000,636,0.00848,10,BB,Check-In
2,3,75000,381,0.00508,47,BB,Check-In
1,6,75000,138,0.00184,47,BB,Check-In
3,4,37500,348,0.00928,-3,BB,Check-In
1,2,37500,197,0.0052533333333333,6,BB,Check-In
2,4,75000,336,0.00448,-3,BB,Check-In
3,4,25000,199,0.00796,65,BB,Check-In
2,3,37500,264,0.00704,11,BB,Check-In
1,2,25000,260,0.0104,64,BB,Check-In
2,3,75000,370,0.0049333333333333,8,BB,Check-In
2,6,25000,177,0.00708,9,BB,Check-In
1,2,37500,212,0.0056533333333333,56,HB,Check-In
2,3,100000,760,0.0076,13,HB,Check-In
1,4,75000,245,0.0032666666666666,18,BB,Check-In
3,8,37500,490,0.0130666666666666,8,BB,Check-In
2,4,100000,185,0.00185,11,BB,Check-In
3,4,25000,128,0.00512,9,BB,Check-In
1,2,25000,109,0.00436,62,BB,Check-In
3,5,25000,200,0.008,33,BB,Check-In
2,5,25000,222,0.00888,111,HB,Check-In
1,3,37500,241,0.0064266666666666,34,BB,Check-In
3,5,25000,483,0.01932,65,HB,Check-In
2,4,37500,525,0.014,110,BB,Check-In
2,4,75000,206,0.0027466666666666,20,HB,Check-In
2,7,75000,495,0.0066,3,BB,Check-In
3,7,25000,633,0.02532,4,BB,Check-In
3,7,37500,231,0.00616,16,BB,Check-In
2,4,37500,206,0.0054933333333333,-1,BB,Check-In
1,2,37500,111,0.00296,1,BB,Check-In
1,5,100000,174,0.00174,14,BB,Check-In
1,5,37500,442,0.0117866666666666,5,BB,Check-In
1,2,37500,394,0.0105066666666666,9,BB,Check-In
3,4,37500,543,0.01448,3,BB,Check-In
1,4,25000,458,0.01832,-1,BB,Check-In
4,5,25000,459,0.01836,-2,BB,Check-In
3,4,75000,444,0.00592,46,BB,Check-In
1,2,75000,179,0.0023866666666666,14,BB,Check-In
2,4,37500,346,0.0092266666666666,1,BB,Check-In
1,2,75000,198,0.00264,22,BB,Check-In
1,3,37500,402,0.01072,50,BB,Check-In
3,4,37500,432,0.01152,51,BB,Check-In
1,3,75000,120,0.0016,93,BB,Check-In
1,2,37500,187,0.0049866666666666,63,BB,Check-In
1,5,25000,170,0.0068,52,BB,Check-In
3,4,37500,657,0.01752,50,BB,Check-In
2,3,37500,450,0.012,62,BB,Check-In
3,4,100000,237,0.00237,52,BB,Check-In
1,3,75000,192,0.00256,23,BB,Check-In
4,6,37500,760,0.0202666666666666,20,BB,Check-In
1,2,25000,161,0.00644,22,BB,Check-In
3,5,100000,208,0.00208,51,BB,Check-In
1,3,75000,124,0.0016533333333333,22,BB,Check-In
3,5,37500,228,0.00608,88,HB,Check-In
3,6,37500,968,0.0258133333333333,75,BB,Check-In
2,3,25000,181,0.00724,42,BB,Check-In
3,5,37500,144,0.00384,89,HB,Check-In
1,5,75000,217,0.0028933333333333,64,HB,Check-In
2,4,75000,110,0.0014666666666666,64,HB,Check-In
2,5,37500,568,0.0151466666666666,95,BB,Check-In
2,5,25000,108,0.00432,24,HB,Check-In
3,6,25000,185,0.0074,91,BB,Check-In
1,4,100000,324,0.00324,89,BB,Check-In
2,4,37500,100,0.0026666666666666,37,HB,Check-In
1,4,25000,336,0.01344,3,BB,Check-In
1,2,37500,800,0.0213333333333333,34,BB,Check-In
4,9,100000,738,0.00738,10,BB,Check-In
1,3,75000,651,0.00868,29,BB,Check-In
1,3,75000,191,0.0025466666666666,314,BB,Check-In
3,5,25000,330,0.0132,6,BB,Check-In
3,6,75000,424,0.0056533333333333,-4,BB,Check-In
5,6,37500,209,0.0055733333333333,90,BB,Check-In
3,5,37500,309,0.00824,0,BB,Check-In
2,4,25000,147,0.00588,8,BB,Check-In
1,3,37500,202,0.0053866666666666,18,BB,Check-In
1,3,25000,235,0.0094,24,BB,Check-In
3,5,75000,468,0.00624,106,HB,Check-In
1,5,37500,228,0.00608,35,HB,Check-In
1,3,37500,368,0.0098133333333333,43,HB,Check-In
3,6,37500,145,0.0038666666666666,63,BB,Check-In
2,4,25000,164,0.00656,43,BB,Check-In
1,3,25000,458,0.01832,24,BB,Check-In
1,5,37500,130,0.0034666666666666,95,HB,Check-In
3,8,100000,218,0.00218,122,BB,Check-In
1,3,25000,900,0.036,38,BB,Check-In
1,2,100000,376,0.00376,57,BB,Check-In
2,3,25000,175,0.007,27,BB,Check-In
2,4,25000,988,0.03952,102,BB,Check-In
2,5,100000,516,0.00516,-3,BB,Check-In
1,4,37500,180,0.0048,-1,FB,Check-In
3,4,100000,175,0.00175,3,BB,Check-In
2,4,37500,384,0.01024,0,BB,Check-In
2,3,37500,198,0.00528,72,FB,Check-In
1,3,75000,576,0.00768,41,HB,Check-In
3,6,37500,214,0.0057066666666666,94,FB,Check-In
1,4,25000,228,0.00912,93,BB,Check-In
2,7,75000,250,0.0033333333333333,39,HB,Check-In
2,4,100000,426,0.00426,61,BB,Check-In
1,3,37500,149,0.0039733333333333,63,BB,Check-In
1,2,25000,436,0.01744,90,BB,Check-In
2,3,75000,274,0.0036533333333333,55,HB,Check-In
2,5,25000,612,0.02448,57,HB,Check-In
3,4,75000,651,0.00868,54,HB,Check-In
3,8,25000,597,0.02388,84,BB,Check-In
3,5,75000,438,0.00584,-2,BB,Check-In
1,2,25000,135,0.0054,-1,BB,Check-In
1,3,100000,144,0.00144,5,BB,Check-In
2,4,25000,127,0.00508,-1,BB,Check-In
3,4,37500,436,0.0116266666666666,15,BB,Check-In
1,4,75000,398,0.0053066666666666,2,BB,Check-In
2,5,100000,741,0.00741,56,BB,Check-In
1,2,37500,217,0.0057866666666666,43,BB,Check-In
3,7,100000,363,0.00363,34,BB,Check-In
1,4,25000,495,0.0198,63,BB,Check-In
3,6,100000,552,0.00552,35,BB,Check-In
2,5,100000,426,0.00426,60,HB,Check-In
