Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate
F,69,African American,College,25K --50K,West,Airport Hotels,2015-07-05,2015-07-07,2015-05-31,1,2,2,BB,No,No,Refundable,Online,Yes,Check-In,Yes,15,246
M,42,caucasian,Grad,>100K,North,Resort,2015-07-05,2015-07-06,2015-04-29,3,3,1,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,10,203
F,22,Asian American,Grad,25K --50K,South,Resort,2015-07-05,2015-07-08,2015-06-01,1,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,220
M,32,Asian American,Mid-School,<25K,South,Airport Hotels,2015-07-02,2015-07-03,2015-06-21,1,1,2,BB,Yes,No,No Deposit,Direct,No,Check-In,No,0,182
F,55,Asian American,College,<25K,East,Airport Hotels,2015-07-02,2015-07-03,2015-07-03,3,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,168
M,62,Asian American,Mid-School,50K -- 100K,West,Airport Hotels,2015-07-05,2015-07-06,2015-06-29,1,1,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,234
M,22,African American,Grad,<25K,East,Resort,2015-07-06,2015-07-07,2015-05-31,1,3,2,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,10,118
F,62,caucasian,High-School,>100K,South,Resort,2015-07-07,2015-07-11,2015-04-30,1,2,0,BB,No,No,No Deposit,Agent,No,Check-In,Yes,5,220
M,45,Asian American,High-School,25K --50K,East,Airport Hotels,2015-07-07,2015-07-08,2015-04-27,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,222
F,53,Latino,Mid-School,25K --50K,South,City Hotel,2015-07-07,2015-07-10,2015-04-29,5,3,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,25,161
F,33,caucasian,Mid-School,50K -- 100K,South,City Hotel,2015-07-01,2015-07-03,2015-02-26,2,1,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,101
M,32,Latino,College,<25K,South,City Hotel,2015-07-08,2015-07-09,2015-04-22,3,1,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,105
F,43,African American,College,<25K,South,City Hotel,2015-07-08,2015-07-09,2015-05-22,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,146
F,38,caucasian,High-School,25K --50K,West,City Hotel,2015-05-11,2015-05-12,2015-03-13,3,2,0,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,20,162
F,18,Asian American,High-School,<25K,East,City Hotel,2015-07-08,2015-07-09,2015-04-23,1,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,129
M,66,Latino,College,50K -- 100K,South,Resort,2015-07-08,2015-07-10,2015-04-02,2,1,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,218
M,44,Latino,High-School,<25K,North,Airport Hotels,2015-07-15,2015-07-18,2015-03-22,2,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,20,191
F,43,Latino,High-School,25K --50K,East,Airport Hotels,2015-07-16,2015-07-17,2015-04-13,5,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,154
F,29,Asian American,Mid-School,25K --50K,South,Airport Hotels,2015-05-29,2015-05-30,2015-02-23,3,2,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,173
F,54,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,2015-07-08,2015-07-09,2015-05-01,4,2,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,216
F,48,caucasian,Mid-School,50K -- 100K,South,City Hotel,2015-05-19,2015-05-22,2015-04-07,3,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,103
F,43,Latino,College,50K -- 100K,East,Airport Hotels,2015-06-19,2015-06-20,2015-05-11,3,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,25,246
F,43,caucasian,Grad,>100K,South,Airport Hotels,2015-07-06,2015-07-09,2015-06-24,5,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,156
F,23,African American,High-School,50K -- 100K,North,City Hotel,2015-07-06,2015-07-07,2015-06-01,3,1,0,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,10,237
M,43,African American,Mid-School,25K --50K,South,City Hotel,2015-05-23,2015-05-27,2015-04-14,4,2,1,BB,Yes,No,No Deposit,Agent,No,Check-In,No,0,166
M,21,caucasian,College,50K -- 100K,South,Airport Hotels,2015-07-07,2015-07-11,2015-05-02,1,2,1,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,208
F,35,African American,Mid-School,25K --50K,South,Airport Hotels,2015-05-18,2015-05-19,2015-04-04,1,1,0,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,30,159
F,36,caucasian,Mid-School,25K --50K,South,Resort,2015-07-07,2015-07-10,2015-05-26,2,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,10,188
F,51,African American,College,50K -- 100K,East,Resort,2015-07-07,2015-07-08,2015-06-22,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,134
F,29,caucasian,College,50K -- 100K,North,Airport Hotels,2015-07-07,2015-07-08,2015-04-29,2,1,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,20,218
F,68,caucasian,High-School,50K -- 100K,East,Airport Hotels,2015-07-09,2015-07-13,2015-03-28,1,2,1,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,101
M,44,Asian American,College,50K -- 100K,West,Resort,2015-06-02,2015-06-05,2015-04-19,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,No,0,124
F,62,caucasian,High-School,<25K,South,Resort,2015-07-09,2015-07-11,2015-04-06,3,2,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,243
M,68,Latino,High-School,<25K,South,Airport Hotels,2015-07-09,2015-07-10,2015-03-19,1,1,1,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,238
M,69,caucasian,Grad,<25K,South,Resort,2015-07-09,2015-07-13,2015-04-14,2,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,No,0,150
F,66,African American,Grad,>100K,North,Airport Hotels,2015-07-09,2015-07-10,2015-05-21,1,2,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,111
F,32,Asian American,Grad,50K -- 100K,South,Resort,2015-07-09,2015-07-12,2015-03-21,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,240
M,59,Latino,High-School,25K --50K,South,Airport Hotels,2015-07-13,2015-07-14,2015-04-12,3,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,40,237
M,44,African American,College,50K -- 100K,West,City Hotel,2015-07-16,2015-07-17,2015-05-02,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,228
F,48,Latino,High-School,50K -- 100K,East,City Hotel,2015-07-03,2015-07-04,2015-07-01,2,2,1,BB,Yes,Yes,No Deposit,Online,No,Check-In,Yes,25,175
M,28,African American,College,>100K,North,Airport Hotels,2015-07-03,2015-07-07,2015-07-06,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,15,199
F,67,Latino,College,50K -- 100K,South,Airport Hotels,2015-07-03,2015-07-04,2015-07-03,2,1,0,BB,Yes,Yes,Refundable,Online,No,Check-In,Yes,20,158
F,63,caucasian,Grad,>100K,North,Airport Hotels,2015-07-03,2015-07-04,2015-07-04,2,2,1,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,131
M,38,caucasian,Grad,50K -- 100K,North,Airport Hotels,2015-07-03,2015-07-04,2015-07-04,5,1,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,149
M,21,African American,Grad,25K --50K,East,City Hotel,2015-07-03,2015-07-04,2015-07-04,2,2,0,BB,Yes,No,Refundable,Online,Yes,Check-In,Yes,20,140
M,60,Latino,High-School,>100K,South,Airport Hotels,2015-07-04,2015-07-05,2015-06-21,2,1,1,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,10,143
F,26,Asian American,High-School,<25K,East,City Hotel,2015-07-04,2015-07-05,2015-06-25,1,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,225
M,52,caucasian,Grad,>100K,South,Airport Hotels,2015-07-04,2015-07-05,2015-06-30,3,1,1,BB,Yes,No,Non-Refundable,Online,No,Check-In,Yes,25,201
M,24,caucasian,High-School,25K --50K,South,Resort,2015-07-05,2015-07-06,2015-06-19,2,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,No,0,123
M,60,Asian American,Mid-School,<25K,South,Airport Hotels,2015-07-05,2015-07-06,2015-04-04,4,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,25,242
F,26,Asian American,Mid-School,25K --50K,North,City Hotel,2015-06-29,2015-07-01,2015-06-28,1,3,0,HB,Yes,Yes,Refundable,Online,No,Check-In,Yes,15,179
F,26,African American,College,<25K,North,City Hotel,2015-07-05,2015-07-06,2015-06-26,1,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,10,232
F,69,Asian American,Grad,>100K,South,Airport Hotels,2015-07-05,2015-07-06,2015-07-03,1,1,2,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,30,127
M,56,African American,College,<25K,North,Airport Hotels,2015-07-05,2015-07-06,2015-05-16,3,3,1,BB,Yes,No,No Deposit,Agent,Yes,Check-In,No,0,204
M,42,Latino,College,50K -- 100K,East,Resort,2015-06-16,2015-06-17,2015-04-07,3,1,0,BB,Yes,No,No Deposit,Direct,No,Check-In,Yes,10,174
F,61,caucasian,College,50K -- 100K,East,Resort,2015-06-18,2015-06-20,2015-04-18,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,219
M,63,caucasian,College,50K -- 100K,West,Resort,2015-07-03,2015-07-04,2015-05-03,1,3,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,30,146
F,65,African American,Mid-School,50K -- 100K,East,Resort,2015-06-12,2015-06-13,2015-03-04,5,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,177
M,67,Asian American,College,<25K,West,Resort,2015-07-05,2015-07-06,2015-07-04,1,2,1,HB,No,No,No Deposit,Online,No,Check-In,No,0,214
M,55,Latino,Grad,<25K,South,City Hotel,2015-07-05,2015-07-07,2015-06-22,4,1,1,BB,Yes,Yes,No Deposit,Direct,Yes,Check-In,No,0,200
M,53,Asian American,Mid-School,>100K,South,Resort,2015-06-09,2015-06-12,2015-04-22,4,1,1,BB,No,No,No Deposit,Agent,No,Check-In,No,0,186
F,22,caucasian,High-School,25K --50K,North,Resort,2015-07-06,2015-07-07,2015-07-04,5,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,187
M,46,caucasian,College,25K --50K,South,Airport Hotels,2015-05-26,2015-05-29,2015-04-11,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,212
F,40,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,2015-07-07,2015-07-09,2015-07-07,1,3,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,No,0,222
F,64,Latino,Mid-School,25K --50K,North,Resort,2015-07-07,2015-07-09,2015-04-28,4,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,121
M,44,caucasian,College,25K --50K,East,Airport Hotels,2015-07-11,2015-07-12,2015-04-22,5,2,2,BB,No,No,No Deposit,Online,No,Check-In,No,0,203
F,28,caucasian,College,<25K,South,City Hotel,2015-07-12,2015-07-15,2015-04-07,1,2,1,BB,Yes,No,Non-Refundable,Online,No,Check-In,Yes,5,227
M,40,African American,College,50K -- 100K,North,Airport Hotels,2015-05-19,2015-05-20,2014-05-17,1,1,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,Yes,20,249
F,21,Asian American,Mid-School,>100K,South,City Hotel,2015-07-13,2015-07-16,2014-07-17,2,2,1,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,243
F,62,Latino,Grad,50K -- 100K,South,Resort,2015-06-09,2015-06-10,2015-03-21,2,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,231
M,58,Asian American,Mid-School,50K -- 100K,East,Resort,2015-07-13,2015-07-17,2015-04-09,2,1,0,HB,No,No,Refundable,Agent,Yes,Check-In,Yes,25,169
F,34,Latino,College,<25K,South,City Hotel,2015-07-17,2015-07-18,2014-08-28,1,1,0,HB,Yes,No,Refundable,Online,No,Check-In,Yes,25,188
M,31,caucasian,Grad,25K --50K,East,City Hotel,2015-07-17,2015-07-20,2015-05-12,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,100
M,37,Asian American,College,<25K,East,City Hotel,2015-04-15,2015-04-18,2015-01-29,2,1,1,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,40,170
F,51,Asian American,Mid-School,<25K,West,City Hotel,2015-07-04,2015-07-07,2015-06-25,2,1,1,BB,No,No,No Deposit,Direct,No,Check-In,Yes,20,146
M,47,Latino,Grad,25K --50K,West,Resort,2015-07-04,2015-07-05,2015-06-26,1,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,121
M,56,Latino,Grad,<25K,North,City Hotel,2015-07-04,2015-07-05,2015-07-04,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,102
M,51,African American,Grad,<25K,South,Resort,2015-07-04,2015-07-06,2015-06-15,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,138
F,39,African American,Grad,<25K,South,Airport Hotels,2015-07-04,2015-07-07,2015-06-28,1,1,0,BB,No,No,Refundable,Agent,No,Check-In,Yes,20,242
M,29,Asian American,College,50K -- 100K,West,Resort,2015-07-04,2015-07-06,2015-03-19,1,2,1,BB,Yes,Yes,Refundable,Direct,No,Check-In,Yes,5,203
M,46,African American,High-School,25K --50K,North,Airport Hotels,2015-05-26,2015-05-27,2015-02-07,2,1,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,235
F,66,African American,Mid-School,50K -- 100K,West,Airport Hotels,2015-06-29,2015-06-30,2015-04-19,2,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,205
M,49,African American,Mid-School,25K --50K,South,Resort,2015-05-13,2015-05-14,2015-03-12,1,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,215
F,38,Latino,Mid-School,>100K,West,Airport Hotels,2015-07-10,2015-07-12,2015-05-10,2,1,0,HB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,240
M,57,Latino,Grad,25K --50K,South,City Hotel,2015-07-10,2015-07-14,2015-04-04,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,226
M,46,caucasian,College,50K -- 100K,South,City Hotel,2015-07-10,2015-07-12,2015-04-01,1,1,2,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,164
F,59,African American,High-School,50K -- 100K,East,City Hotel,2015-07-07,2015-07-09,2015-07-05,4,2,0,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,25,204
F,23,Asian American,College,<25K,South,City Hotel,2015-07-07,2015-07-11,2015-04-04,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,158
F,32,Asian American,High-School,25K --50K,North,Resort,2015-07-10,2015-07-12,2015-04-11,2,2,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,Yes,15,204
M,28,Latino,High-School,<25K,South,Airport Hotels,2015-07-10,2015-07-11,2015-04-07,3,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,5,117
F,47,caucasian,College,25K --50K,West,Airport Hotels,2015-07-11,2015-07-14,2015-04-03,3,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,15,209
M,52,African American,Grad,<25K,East,Resort,2015-06-09,2015-06-10,2015-05-15,5,1,0,BB,Yes,No,Refundable,Online,No,Check-In,Yes,10,114
F,35,Latino,Grad,25K --50K,South,Airport Hotels,2015-05-20,2015-05-21,2015-03-09,2,2,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,229
F,48,caucasian,Mid-School,50K -- 100K,North,Resort,2015-04-22,2015-04-24,2015-01-12,2,2,0,BB,Yes,No,Refundable,Online,No,Check-In,No,0,129
F,26,Latino,High-School,25K --50K,South,Resort,2015-07-11,2015-07-13,2015-03-20,4,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,189
F,30,caucasian,College,<25K,South,Resort,2015-07-11,2015-07-12,2015-04-01,2,1,2,BB,Yes,Yes,No Deposit,Agent,No,Check-In,Yes,5,247
F,57,caucasian,Grad,50K -- 100K,South,City Hotel,2015-07-11,2015-07-13,2015-04-18,3,3,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,No,0,245
F,19,caucasian,College,<25K,North,City Hotel,2015-07-11,2015-07-12,2015-04-25,5,2,0,HB,Yes,Yes,No Deposit,Direct,Yes,Check-In,Yes,20,191
F,22,Asian American,College,25K --50K,North,Airport Hotels,2015-07-11,2015-07-12,2015-05-21,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-In,No,0,214
M,60,caucasian,College,<25K,East,Resort,2015-07-12,2015-07-15,2015-06-16,1,2,0,BB,Yes,No,Refundable,Direct,Yes,Check-In,Yes,10,228
F,23,African American,Grad,50K -- 100K,North,City Hotel,2015-05-12,2015-05-13,2015-02-01,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,238
M,55,Asian American,Mid-School,50K -- 100K,East,Airport Hotels,2015-07-12,2015-07-13,2015-03-26,2,3,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,5,144
M,58,African American,Mid-School,50K -- 100K,West,Airport Hotels,2015-07-14,2015-07-16,2015-04-15,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,10,216
M,31,caucasian,Mid-School,50K -- 100K,South,Resort,2015-07-14,2015-07-18,2015-04-17,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,240
F,33,Latino,College,<25K,East,City Hotel,2015-07-14,2015-07-16,2015-04-28,3,1,1,HB,No,No,Refundable,Direct,Yes,Check-In,No,0,123
F,41,Asian American,High-School,25K --50K,North,Resort,2015-07-05,2015-07-06,2015-07-04,4,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,248
F,38,Latino,High-School,50K -- 100K,North,Airport Hotels,2015-07-05,2015-07-07,2015-06-07,5,1,1,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,217
F,24,African American,College,50K -- 100K,West,Airport Hotels,2015-05-29,2015-05-31,2015-04-10,1,2,0,HB,No,No,No Deposit,Direct,No,Check-In,Yes,5,234
M,63,caucasian,College,50K -- 100K,West,Resort,2015-07-04,2015-07-05,2015-05-30,3,1,0,BB,Yes,Yes,Non-Refundable,Online,Yes,Check-In,Yes,5,120
F,58,African American,High-School,50K -- 100K,East,City Hotel,2015-05-13,2015-05-15,2015-03-03,2,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,158
F,26,Latino,High-School,50K -- 100K,West,Resort,2015-06-16,2015-06-18,2015-05-16,2,1,1,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,168
M,20,Asian American,High-School,<25K,East,City Hotel,2015-07-05,2015-07-07,2015-06-05,3,1,1,FB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,130
F,44,Asian American,Grad,25K --50K,South,City Hotel,2015-07-05,2015-07-08,2015-06-30,1,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,203
F,38,Asian American,Mid-School,50K -- 100K,West,City Hotel,2015-07-06,2015-07-08,2015-03-30,3,3,1,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,15,181
F,64,caucasian,High-School,25K --50K,South,Airport Hotels,2015-07-06,2015-07-07,2015-07-06,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,165
F,29,African American,College,<25K,South,Resort,2015-07-06,2015-07-07,2015-03-29,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,20,186
M,35,Latino,High-School,50K -- 100K,North,Resort,2015-07-06,2015-07-08,2015-03-30,4,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,130
M,53,Latino,Grad,25K --50K,South,City Hotel,2015-07-06,2015-07-08,2015-06-29,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,118
M,38,Asian American,College,<25K,West,Airport Hotels,2015-07-01,2015-07-05,2015-06-30,3,1,1,BB,No,No,No Deposit,Online,No,Check-In,No,0,123
F,22,African American,High-School,25K --50K,South,Airport Hotels,2015-07-06,2015-07-07,2015-07-07,1,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,5,195
M,47,African American,Grad,<25K,North,Resort,2015-07-06,2015-07-08,2015-06-29,1,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,No,0,109
F,69,caucasian,Grad,>100K,South,City Hotel,2015-07-06,2015-07-08,2015-07-06,1,2,1,BB,No,No,No Deposit,Agent,No,Check-In,Yes,10,162
F,25,Latino,College,>100K,South,City Hotel,2015-07-06,2015-07-10,2015-07-08,1,1,0,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,25,179
F,22,caucasian,High-School,50K -- 100K,East,Airport Hotels,2015-07-06,2015-07-09,2015-06-30,4,1,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,20,242
M,57,Latino,College,25K --50K,East,Airport Hotels,2015-07-01,2015-07-02,2015-06-27,1,1,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,15,244
F,68,African American,Grad,>100K,South,Airport Hotels,2015-07-06,2015-07-08,2015-07-06,2,2,1,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,30,148
F,27,Latino,Mid-School,>100K,West,City Hotel,2015-07-07,2015-07-08,2015-05-25,2,2,1,HB,Yes,Yes,Refundable,Agent,No,Check-In,No,0,176
F,24,caucasian,College,<25K,South,Airport Hotels,2015-07-07,2015-07-09,2015-04-20,1,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,20,103
F,61,African American,Grad,25K --50K,West,City Hotel,2015-07-09,2015-07-13,2015-04-07,4,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,122
M,36,Asian American,Mid-School,25K --50K,West,City Hotel,2015-07-10,2015-07-11,2015-03-24,3,2,1,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,20,133
F,38,caucasian,Mid-School,25K --50K,South,City Hotel,2015-07-10,2015-07-11,2015-06-11,4,1,1,BB,No,No,Refundable,Online,Yes,Check-In,No,0,158
M,70,Asian American,College,50K -- 100K,East,City Hotel,2015-07-10,2015-07-11,2015-05-08,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,40,227
M,38,African American,College,50K -- 100K,North,City Hotel,2015-07-11,2015-07-12,2015-06-03,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,25,114
M,58,African American,Grad,25K --50K,South,Airport Hotels,2015-07-11,2015-07-12,2015-04-13,1,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,223
M,26,Latino,College,<25K,South,Airport Hotels,2015-06-17,2015-06-18,2015-05-15,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,30,201
M,37,African American,College,25K --50K,North,Resort,2015-05-01,2015-05-02,2015-01-29,3,3,1,HB,No,No,Refundable,Online,No,Check-In,Yes,5,191
F,45,Asian American,Grad,<25K,South,City Hotel,2015-07-12,2015-07-16,2015-04-10,5,1,0,HB,No,No,Refundable,Online,Yes,Check-In,Yes,5,190
M,29,Asian American,High-School,25K --50K,West,Airport Hotels,2015-07-12,2015-07-13,2015-06-14,2,1,2,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,115
F,25,African American,College,>100K,North,City Hotel,2015-03-30,2015-03-31,2014-12-20,2,2,0,HB,No,No,Refundable,Direct,Yes,Check-In,No,0,176
F,54,Asian American,College,50K -- 100K,North,Resort,2015-07-12,2015-07-13,2015-06-16,1,1,1,BB,Yes,No,Refundable,Direct,No,Check-In,Yes,40,160
M,18,caucasian,Grad,50K -- 100K,South,Resort,2015-07-14,2015-07-16,2015-07-08,3,1,1,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,10,150
M,54,Asian American,College,50K -- 100K,North,Resort,2015-07-15,2015-07-17,2015-04-26,1,2,1,BB,Yes,No,Refundable,Online,No,Check-In,Yes,5,157
M,33,Asian American,High-School,25K --50K,West,Airport Hotels,2015-07-15,2015-07-16,2015-04-13,2,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,188
F,35,African American,College,50K -- 100K,South,Resort,2015-07-16,2015-07-17,2015-03-29,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,186
M,58,African American,Mid-School,<25K,South,Resort,2015-07-19,2015-07-20,2015-04-15,2,2,0,HB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,172
